80 000 000    ;8;Муниципальные образования Республики Башкортостан;
80 600 000    ;4;Муниципальные районы Республики Башкортостан;
80 601 000    ;9;Абзелиловский муниципальный район;с Аскарово
80 601 400    ;0;Сельские поселения Абзелиловского муниципального района/;
80 601 404    ;1;- Альмухаметовский сельсовет;с Целинный
80 601 407    ;1;- Амангильдинский сельсовет;с Амангильдино
80 601 410    ;7;- Аскаровский сельсовет;с Аскарово
80 601 413    ;9;- Баимовский сельсовет;с Баимово
80 601 416    ;0;- Бурангуловский сельсовет;с Бурангулово
80 601 419    ;2;- Гусевский сельсовет;с Гусево
80 601 422    ;8;- Давлетовский сельсовет;с Давлетово
80 601 425    ;7;- Кирдасовский сельсовет;с Кирдасово
80 601 428    ;1;- Краснобашкирский сельсовет;с Красная Башкирия
80 601 431    ;7;- Равиловский сельсовет;с Ишкулово
80 601 434    ;9;- Ташбулатовский сельсовет;с Ташбулатово
80 601 437    ;0;- Таштимеровский сельсовет;с Михайловка
80 601 440    ;6;- Халиловский сельсовет;с Халилово
80 601 443    ;8;- Хамитовский сельсовет;с Хамитово
80 601 446    ;2;- Янгильский сельсовет;с Янгельское
80 602 000    ;3;Альшеевский муниципальный район;с Раевский
80 602 400    ;5;Сельские поселения Альшеевского муниципального района/;
80 602 404    ;4;- Абдрашитовский сельсовет;с Абдрашитово
80 602 406    ;9;- Аксеновский сельсовет;с Аксеново
80 602 413    ;3;- Воздвиженский сельсовет;с Воздвиженка
80 602 416    ;5;- Гайниямакский сельсовет;с Гайниямак
80 602 418    ;2;- Зеленоклиновский сельсовет;д Зелёный Клин
80 602 419    ;7;- Ибраевский сельсовет;с Новосепяшево
80 602 422    ;2;- Казанский сельсовет;с Казанка
80 602 428    ;6;- Кармышевский сельсовет;с Кармышево
80 602 431    ;1;- Кипчак-Аскаровский сельсовет;с Кипчак-Аскарово
80 602 437    ;5;- Кызыльский сельсовет;с Тавричанка
80 602 440    ;0;- Мендяновский сельсовет;с Мендяново
80 602 443    ;2;- Нигматуллинский сельсовет;с Нигматуллино
80 602 446    ;4;- Нижнеаврюзовский сельсовет;с Нижнее Аврюзово
80 602 449    ;6;- Никифаровский сельсовет;с Никифарово
80 602 451    ;4;- Раевский сельсовет;с Раевский
80 602 455    ;3;- Слаковский сельсовет;с Слак
80 602 458    ;5;- Ташлинский сельсовет;с Ташлы
80 602 461    ;0;- Трунтаишевский сельсовет;с Трунтаишево
80 602 464    ;2;- Чебенлинский сельсовет;с Чебенли
80 602 470    ;9;- Шафрановский сельсовет;с Шафраново
80 603 000    ;8;Архангельский муниципальный район;с Архангельское
80 603 400    ;8;Сельские поселения Архангельского муниципального района/;
80 603 404    ;9;- Абзановский сельсовет;с Абзаново
80 603 410    ;6;- Архангельский сельсовет;с Архангельское
80 603 413    ;8;- Арх-Латышский сельсовет;д Максим Горький
80 603 416    ;0;- Бакалдинский сельсовет;с Бакалдинское
80 603 419    ;1;- Инзерский сельсовет;с Валентиновка
80 603 422    ;7;- Ирныкшинский сельсовет;с Ирныкши
80 603 425    ;9;- Краснозилимский сельсовет;с Красный Зилим
80 603 428    ;0;- Краснокуртовский сельсовет;д Шакировка
80 603 434    ;8;- Липовский сельсовет;с Благовещенка
80 603 440    ;5;- Орловский сельсовет;д Орловка
80 603 446    ;9;- Тавакачевский сельсовет;д Тавакачево
80 603 450    ;1;- Узунларовский сельсовет;с Узунларово
80 604 000    ;2;Аскинский муниципальный район;с Аскино
80 604 400    ;4;Сельские поселения Аскинского муниципального района/;
80 604 402    ;9;- Арбашевский сельсовет;с Арбашево
80 604 404    ;3;- Аскинский сельсовет;с Аскино
80 604 413    ;2;- Евбулякский сельсовет;д Евбуляк
80 604 416    ;4;- Казанчинский сельсовет;с Старые Казанчи
80 604 418    ;9;- Карткисяковский сельсовет;д Карткисяк
80 604 419    ;6;- Кашкинский сельсовет;с Кашкино
80 604 425    ;3;- Ключевский сельсовет;с Ключи
80 604 428    ;5;- Кубиязовский сельсовет;с Кубиязы
80 604 431    ;0;- Кунгаковский сельсовет;д Кунгак
80 604 437    ;4;- Кшлау-Елгинский сельсовет;д Кшлау-Елга
80 604 440    ;7;- Мутабашевский сельсовет;с Старый Мутабаш
80 604 442    ;4;- Петропавловский сельсовет;д Петропавловка
80 604 443    ;1;- Султанбековский сельсовет;д Султанбеково
80 604 446    ;3;- Урмиязовский сельсовет;с Урмиязы
80 604 450    ;6;- Усть-Табасский сельсовет;д Усть-Табаска
80 605 000    ;7;Аургазинский муниципальный район;с Толбазы
80 605 400    ;9;Сельские поселения Аургазинского муниципального района/;
80 605 402    ;3;- Балыклыкульский сельсовет;д Балыклыкуль
80 605 404    ;8;- Батыровский сельсовет;с Куезбашево
80 605 407    ;4;- Бишкаинский сельсовет;с Бишкаин
80 605 410    ;5;- Ибраевский сельсовет;с Малое Ибраево
80 605 413    ;7;- Исмагиловский сельсовет;с Исмагилово
80 605 416    ;9;- Ишлинский сельсовет;с Ишлы
80 605 419    ;0;- Кебячевский сельсовет;д Кебячево
80 605 422    ;6;- Меселинский сельсовет;с Месели
80 605 425    ;8;- Михайловский сельсовет;д Михайловка
80 605 428    ;0;- Нагадакский сельсовет;д Татарский Нагадак
80 605 431    ;5;- Новокальчировский сельсовет;д Новый Кальчир
80 605 434    ;7;- Семенкинский сельсовет;с Семенкино
80 605 437    ;9;- Степановский сельсовет;с Степановка
80 605 440    ;4;- Султанмуратовский сельсовет;с Султанмуратово
80 605 443    ;6;- Таштамакский сельсовет;д Таштамак
80 605 446    ;8;- Толбазинский сельсовет;с Толбазы
80 605 449    ;5;- Тряпинский сельсовет;с Тряпино
80 605 452    ;5;- Тукаевский сельсовет;с Тукаево
80 605 458    ;9;- Турумбетовский сельсовет;с Турумбет
80 605 461    ;4;- Уршакский сельсовет;с Староабсалямово
80 605 472    ;8;- Чуваш-Карамалинский сельсовет;с Чуваш-Карамалы
80 606 000    ;1;Баймакский муниципальный район;г Баймак
80 606 100    ;7;Городские поселения Баймакского муниципального района/;
80 606 101    ;4;- город Баймак;г Баймак
80 606 400    ;3;Сельские поселения Баймакского муниципального района/;
80 606 404    ;2;- Абдулкаримовский сельсовет;с Абдулкаримово
80 606 407    ;4;- Акмурунский сельсовет;с Акмурун
80 606 409    ;9;- Бекешевский сельсовет;с Бекешево
80 606 410    ;5;- Биляловский сельсовет;с Билялово
80 606 413    ;1;- Зилаирский сельсовет;с Ургаза
80 606 416    ;3;- 1-й Иткуловский сельсовет;с 1-е Иткулово
80 606 422    ;0;- Ишмурзинский сельсовет;с Ишмурзино
80 606 425    ;2;- Ишмухаметовский сельсовет;с Ишмухаметово
80 606 428    ;4;- Ишбердинский сельсовет;с Ишберда
80 606 431    ;0;- Кусеевский сельсовет;с Кусеево
80 606 434    ;1;- Мукасовский сельсовет;с 1-е Туркменево
80 606 437    ;3;- Кульчуровский сельсовет;с Кульчурово
80 606 438    ;0;- Мерясовский сельсовет;с Мерясово
80 606 440    ;9;- Нигаматовский сельсовет;с Нигаматово
80 606 442    ;3;- Семеновский сельсовет;с Семеновское
80 606 443    ;0;- Сибайский сельсовет;с Старый Сибай
80 606 446    ;2;- Тавлыкаевский сельсовет;с Верхнетавлыкаево
80 606 449    ;4;- Татлыбаевский сельсовет;с Татлыбаево
80 606 452    ;6;- Темясовский сельсовет;с Темясово
80 606 453    ;7;- Тубинский сельсовет;с Тубинский
80 606 455    ;1;- Юмашевский сельсовет;с Юмашево
80 606 459    ;0;- Яратовский сельсовет;с Яратово
80 607 000    ;6;Бакалинский муниципальный район;с Бакалы
80 607 400    ;8;Сельские поселения Бакалинского муниципального района/;
80 607 404    ;7;- Ахмановский сельсовет;с Ахманово
80 607 407    ;9;- Бакалинский сельсовет;с Бакалы
80 607 410    ;4;- Михайловский сельсовет;с Михайловка
80 607 413    ;6;- Бузюровский сельсовет;с Бузюрово
80 607 419    ;3;- Дияшевский сельсовет;с Дияшево
80 607 425    ;7;- Камышлытамакский сельсовет;с Камышлытамак
80 607 428    ;9;- Килеевский сельсовет;с Килеево
80 607 431    ;4;- Куштиряковский сельсовет;с Куштиряково
80 607 434    ;6;- Мустафинский сельсовет;с Мустафино
80 607 440    ;3;- Новокатаевский сельсовет;с Новокатаево
80 607 446    ;7;- Новоурсаевский сельсовет;с Новоурсаево
80 607 449    ;9;- Старокуручевский сельсовет;с Старокуручево
80 607 451    ;7;- Старокостеевский сельсовет;с Старокостеево
80 607 455    ;6;- Староматинский сельсовет;с Старые Маты
